,State,Year,Quarter,Brand,Count,Percentage
74,andaman-&-nicobar-islands,2019,3,Apple,630,0.026325686348251224
75,andaman-&-nicobar-islands,2019,3,Lenovo,483,0.020183026200325936
76,andaman-&-nicobar-islands,2019,3,Others,2110,0.0881701558647779
77,andaman-&-nicobar-islands,2019,4,Xiaomi,6259,0.24110169491525424
78,andaman-&-nicobar-islands,2019,4,Vivo,5190,0.19992295839753466
79,andaman-&-nicobar-islands,2019,4,Samsung,4900,0.18875192604006163
80,andaman-&-nicobar-islands,2019,4,Oppo,2329,0.08971494607087828
81,andaman-&-nicobar-islands,2019,4,Realme,1329,0.051194144838212635
82,andaman-&-nicobar-islands,2019,4,OnePlus,1124,0.04329738058551618
83,andaman-&-nicobar-islands,2019,4,Huawei,798,0.03073959938366718
84,andaman-&-nicobar-islands,2019,4,Motorola,682,0.026271186440677965
85,andaman-&-nicobar-islands,2019,4,Apple,678,0.026117103235747303
86,andaman-&-nicobar-islands,2019,4,Lenovo,488,0.018798151001540832
87,andaman-&-nicobar-islands,2019,4,Others,2183,0.08409090909090909
88,andaman-&-nicobar-islands,2020,1,Xiaomi,6803,0.23981246474901297
89,andaman-&-nicobar-islands,2020,1,Vivo,5880,0.20727580372250423
90,andaman-&-nicobar-islands,2020,1,Samsung,5335,0.1880640157924422
91,andaman-&-nicobar-islands,2020,1,Oppo,2557,0.09013677382966723
92,andaman-&-nicobar-islands,2020,1,Realme,1511,0.05326424139875917
93,andaman-&-nicobar-islands,2020,1,OnePlus,1184,0.04173716864072194
94,andaman-&-nicobar-islands,2020,1,Huawei,891,0.03140862944162436
95,andaman-&-nicobar-islands,2020,1,Apple,735,0.02590947546531303
96,andaman-&-nicobar-islands,2020,1,Motorola,715,0.025204455724760294
97,andaman-&-nicobar-islands,2020,1,Lenovo,500,0.017625493513818386
98,andaman-&-nicobar-islands,2020,1,Others,2257,0.0795614777213762
99,andaman-&-nicobar-islands,2020,2,Xiaomi,7805,0.2386120452461021
100,andaman-&-nicobar-islands,2020,2,Vivo,7122,0.21773158055640476
101,andaman-&-nicobar-islands,2020,2,Samsung,6030,0.1843472944053806
102,andaman-&-nicobar-islands,2020,2,Oppo,2976,0.09098135126872516
103,andaman-&-nicobar-islands,2020,2,Realme,1761,0.053836747172118615
104,andaman-&-nicobar-islands,2020,2,OnePlus,1271,0.03885661877101804
105,andaman-&-nicobar-islands,2020,2,Huawei,1005,0.030724549067563438
106,andaman-&-nicobar-islands,2020,2,Apple,792,0.024212778966676857
107,andaman-&-nicobar-islands,2020,2,Motorola,779,0.023815346988688476
108,andaman-&-nicobar-islands,2020,2,Lenovo,552,0.01687557321919902
109,andaman-&-nicobar-islands,2020,2,Others,2617,0.0800061143381229
110,andaman-&-nicobar-islands,2020,3,Xiaomi,9794,0.2369420587879521
111,andaman-&-nicobar-islands,2020,3,Vivo,9556,0.23118422644248215
112,andaman-&-nicobar-islands,2020,3,Samsung,7572,0.18318616184831257
113,andaman-&-nicobar-islands,2020,3,Oppo,3730,0.09023829684286924
114,andaman-&-nicobar-islands,2020,3,Realme,2285,0.05528002903108745
115,andaman-&-nicobar-islands,2020,3,OnePlus,1440,0.03483730494738115
116,andaman-&-nicobar-islands,2020,3,Huawei,1213,0.029345590903592598
117,andaman-&-nicobar-islands,2020,3,Motorola,907,0.021942663602274103
118,andaman-&-nicobar-islands,2020,3,Apple,870,0.021047538405709446
119,andaman-&-nicobar-islands,2020,3,Lenovo,606,0.014660699165356235
120,andaman-&-nicobar-islands,2020,3,Others,3362,0.08133543002298295
121,andaman-&-nicobar-islands,2020,4,Xiaomi,12398,0.23662111611573403
122,andaman-&-nicobar-islands,2020,4,Vivo,12275,0.23427360867241775
123,andaman-&-nicobar-islands,2020,4,Samsung,9938,0.18967096724940835
124,andaman-&-nicobar-islands,2020,4,Oppo,4723,0.0901404687380716
125,andaman-&-nicobar-islands,2020,4,Realme,2996,0.05717993739980151
126,andaman-&-nicobar-islands,2020,4,OnePlus,1638,0.031261928391480266
127,andaman-&-nicobar-islands,2020,4,Huawei,1472,0.028093747614321703
128,andaman-&-nicobar-islands,2020,4,Motorola,1032,0.019696160012214674
129,andaman-&-nicobar-islands,2020,4,Apple,973,0.018570119856477593
130,andaman-&-nicobar-islands,2020,4,Lenovo,708,0.01351248186884495
131,andaman-&-nicobar-islands,2020,4,Others,4243,0.08097946408122758
132,andaman-&-nicobar-islands,2021,1,Vivo,13812,0.23913570414488036
133,andaman-&-nicobar-islands,2021,1,Xiaomi,13714,0.2374389694934035
134,andaman-&-nicobar-islands,2021,1,Samsung,10861,0.18804321479275599
135,andaman-&-nicobar-islands,2021,1,Oppo,5158,0.08930364624813879
136,andaman-&-nicobar-islands,2021,1,Realme,3419,0.05919526299387098
137,andaman-&-nicobar-islands,2021,1,OnePlus,1773,0.030697046296616917
138,andaman-&-nicobar-islands,2021,1,Huawei,1575,0.027268949755877972
139,andaman-&-nicobar-islands,2021,1,Motorola,1062,0.018387063263963433
140,andaman-&-nicobar-islands,2021,1,Apple,1056,0.018283181550607708
141,andaman-&-nicobar-islands,2021,1,Tecno,796,0.013781640638526264
142,andaman-&-nicobar-islands,2021,1,Others,4532,0.07846532082135808
143,andaman-&-nicobar-islands,2021,2,Vivo,15056,0.2424671873741847
144,andaman-&-nicobar-islands,2021,2,Xiaomi,14788,0.2381512199049843
145,andaman-&-nicobar-islands,2021,2,Samsung,11476,0.18481359207665674
146,andaman-&-nicobar-islands,2021,2,Oppo,5456,0.0878653675819309
147,andaman-&-nicobar-islands,2021,2,Realme,4034,0.06496497302520332
148,andaman-&-nicobar-islands,2021,2,OnePlus,1981,0.031902729688380704
149,andaman-&-nicobar-islands,2021,2,Huawei,1559,0.025106691360012885
150,andaman-&-nicobar-islands,2021,2,Apple,1153,0.018568322731298815
151,andaman-&-nicobar-islands,2021,2,Motorola,1054,0.0169739914646912
152,andaman-&-nicobar-islands,2021,2,Tecno,974,0.015685642966422417
153,andaman-&-nicobar-islands,2021,2,Others,4564,0.073500281826234
154,andhra-pradesh,2018,1,Xiaomi,836581,0.25073985823255257
155,andhra-pradesh,2018,1,Samsung,683687,0.20491450493788307
156,andhra-pradesh,2018,1,Vivo,425959,0.1276683301113459
157,andhra-pradesh,2018,1,Oppo,304487,0.09126077117894768
158,andhra-pradesh,2018,1,Realme,236646,0.07092748280357865
159,andhra-pradesh,2018,1,Motorola,129739,0.03888534220503829
160,andhra-pradesh,2018,1,OnePlus,129421,0.03879003132071513
161,andhra-pradesh,2018,1,Apple,123274,0.03694765394356277
162,andhra-pradesh,2018,1,Lenovo,84138,0.025217821337049858
163,andhra-pradesh,2018,1,Huawei,76654,0.0229747186380734
164,andhra-pradesh,2018,1,Others,305864,0.09167348529125267
165,andhra-pradesh,2018,2,Xiaomi,1113800,0.25299031922481113
166,andhra-pradesh,2018,2,Samsung,903290,0.20517474003643352
167,andhra-pradesh,2018,2,Vivo,586965,0.13332417195528037
168,andhra-pradesh,2018,2,Oppo,410549,0.0932527586347881
169,andhra-pradesh,2018,2,Realme,305964,0.06949715391569412
170,andhra-pradesh,2018,2,Motorola,169847,0.03857932011974905
171,andhra-pradesh,2018,2,OnePlus,155418,0.035301893906699314
172,andhra-pradesh,2018,2,Apple,151847,0.03449077123660432
173,andhra-pradesh,2018,2,Lenovo,107441,0.024404321141886273
174,andhra-pradesh,2018,2,Huawei,102929,0.023379458221844663
175,andhra-pradesh,2018,2,Others,394490,0.08960509160620914
176,andhra-pradesh,2018,3,Xiaomi,1385112,0.25519707820209125
177,andhra-pradesh,2018,3,Samsung,1103186,0.2032542089834268
178,andhra-pradesh,2018,3,Vivo,761793,0.1403549660928544
179,andhra-pradesh,2018,3,Oppo,518120,0.09545994125967253
180,andhra-pradesh,2018,3,Realme,379712,0.06995924730871762
181,andhra-pradesh,2018,3,Motorola,203756,0.0375406002302668
182,andhra-pradesh,2018,3,OnePlus,181364,0.03341503278510624
183,andhra-pradesh,2018,3,Apple,175343,0.03230570616902408
184,andhra-pradesh,2018,3,Huawei,134429,0.02476759137573635
185,andhra-pradesh,2018,3,Lenovo,122489,0.0225677309213233
186,andhra-pradesh,2018,3,Others,462313,0.08517789667178063
187,andhra-pradesh,2018,4,Xiaomi,1753802,0.2557528652585838
188,andhra-pradesh,2018,4,Samsung,1388061,0.20241770616277957
189,andhra-pradesh,2018,4,Vivo,1011185,0.1474587559237024
190,andhra-pradesh,2018,4,Oppo,675093,0.09844724151643865
191,andhra-pradesh,2018,4,Realme,476746,0.06952275998121156
192,andhra-pradesh,2018,4,Motorola,250601,0.03654456078090136
193,andhra-pradesh,2018,4,OnePlus,210161,0.030647289668736397
194,andhra-pradesh,2018,4,Apple,209737,0.030585458735216172
195,andhra-pradesh,2018,4,Huawei,176237,0.025700231676424726
196,andhra-pradesh,2018,4,Lenovo,149583,0.021813340869707494
197,andhra-pradesh,2018,4,Others,556203,0.08110978942629789
198,andhra-pradesh,2019,1,Xiaomi,2110547,0.2548040756637163
199,andhra-pradesh,2019,1,Samsung,1688342,0.2038317188455079
200,andhra-pradesh,2019,1,Vivo,1262871,0.15246506135021543
201,andhra-pradesh,2019,1,Oppo,835541,0.10087396877877498
202,andhra-pradesh,2019,1,Realme,564832,0.06819156155503205
203,andhra-pradesh,2019,1,Motorola,291830,0.03523232290062355
204,andhra-pradesh,2019,1,Apple,241108,0.02910871024200234
205,andhra-pradesh,2019,1,OnePlus,237269,0.028645231889483775
206,andhra-pradesh,2019,1,Huawei,220082,0.026570263813230417
207,andhra-pradesh,2019,1,Lenovo,171471,0.020701509920477063
208,andhra-pradesh,2019,1,Others,659126,0.07957557504093617
209,andhra-pradesh,2019,2,Xiaomi,2389374,0.25448644547243193
210,andhra-pradesh,2019,2,Samsung,1914378,0.20389577040288517
211,andhra-pradesh,2019,2,Vivo,1466695,0.15621413690037164
212,andhra-pradesh,2019,2,Oppo,963352,0.10260429142476576
213,andhra-pradesh,2019,2,Realme,641519,0.0683266370241867
214,andhra-pradesh,2019,2,Motorola,324778,0.03459131922739827
215,andhra-pradesh,2019,2,Apple,264860,0.028209597973288536
216,andhra-pradesh,2019,2,OnePlus,254273,0.027082002210458343
217,andhra-pradesh,2019,2,Huawei,250859,0.026718385328026843
218,andhra-pradesh,2019,2,Lenovo,189151,0.020146015503456544
219,andhra-pradesh,2019,2,Others,729764,0.07772539853273026
220,andhra-pradesh,2019,3,Xiaomi,2656468,0.2539961733268201
221,andhra-pradesh,2019,3,Samsung,2123659,0.20305204483963724
222,andhra-pradesh,2019,3,Vivo,1674109,0.16006866249922433
223,andhra-pradesh,2019,3,Oppo,1087660,0.10399578608914135
224,andhra-pradesh,2019,3,Realme,727964,0.0696037258192778
225,andhra-pradesh,2019,3,Motorola,348910,0.03336076505926697
226,andhra-pradesh,2019,3,Apple,286412,0.02738506618370001
227,andhra-pradesh,2019,3,Huawei,282587,0.02701934170933213
228,andhra-pradesh,2019,3,OnePlus,271100,0.02592102091532852
229,andhra-pradesh,2019,3,Lenovo,194180,0.018566373446471753
230,andhra-pradesh,2019,3,Others,805644,0.07703104011179981
231,andhra-pradesh,2019,4,Xiaomi,2985953,0.25395328393725297
232,andhra-pradesh,2019,4,Samsung,2379139,0.20234416348589282
233,andhra-pradesh,2019,4,Vivo,1922141,0.1634767925484545
234,andhra-pradesh,2019,4,Oppo,1241235,0.10556619758846043
235,andhra-pradesh,2019,4,Realme,844668,0.07183844234544604
236,andhra-pradesh,2019,4,Motorola,381692,0.03246264654955318
237,andhra-pradesh,2019,4,Huawei,317290,0.026985299989802584
238,andhra-pradesh,2019,4,Apple,308354,0.026225299231162617
239,andhra-pradesh,2019,4,OnePlus,286412,0.0243591469654869
240,andhra-pradesh,2019,4,Lenovo,208785,0.01775702309675985
241,andhra-pradesh,2019,4,Others,882214,0.07503170426172807
242,andhra-pradesh,2020,1,Xiaomi,3307542,0.25399529721104036
243,andhra-pradesh,2020,1,Samsung,2622762,0.20140914724705614
244,andhra-pradesh,2020,1,Vivo,2165012,0.16625725883615955
245,andhra-pradesh,2020,1,Oppo,1387060,0.10651617332434346
246,andhra-pradesh,2020,1,Realme,960418,0.0737531542628432
247,andhra-pradesh,2020,1,Motorola,411062,0.0315665877748989
248,andhra-pradesh,2020,1,Huawei,348324,0.026748763252511507
249,andhra-pradesh,2020,1,Apple,329329,0.02529008467170325
250,andhra-pradesh,2020,1,OnePlus,298911,0.022954202330506848
251,andhra-pradesh,2020,1,Lenovo,227154,0.017443783856010493
252,andhra-pradesh,2020,1,Others,964486,0.07406554723292628
253,andhra-pradesh,2020,2,Xiaomi,3635594,0.25388802469329785
254,andhra-pradesh,2020,2,Samsung,2888149,0.2016909601649479
255,andhra-pradesh,2020,2,Vivo,2409399,0.16825793881495216
256,andhra-pradesh,2020,2,Oppo,1535129,0.1072041788657913
257,andhra-pradesh,2020,2,Realme,1072165,0.07487355683700922
258,andhra-pradesh,2020,2,Motorola,445380,0.031102661198665473
259,andhra-pradesh,2020,2,Huawei,379220,0.026482444608554315
260,andhra-pradesh,2020,2,Apple,348938,0.024367731809555735
261,andhra-pradesh,2020,2,OnePlus,309208,0.0215932274999258
262,andhra-pradesh,2020,2,Lenovo,243288,0.01698977106673161
263,andhra-pradesh,2020,2,Others,1053205,0.07354950444056865
264,andhra-pradesh,2020,3,Xiaomi,3978789,0.25354870716120315
265,andhra-pradesh,2020,3,Samsung,3154020,0.2009902242517957
266,andhra-pradesh,2020,3,Vivo,2687996,0.17129280056180043
