,State,Year,Quarter,Name,Type,Count,Amount
61,andaman-&-nicobar-islands,2021,1,Recharge & bill payments,TOTAL,84119,37160922.86506996
62,andaman-&-nicobar-islands,2021,1,Merchant payments,TOTAL,53090,78606979.05751458
63,andaman-&-nicobar-islands,2021,1,Financial Services,TOTAL,884,1469351.0852598653
64,andaman-&-nicobar-islands,2021,1,Others,TOTAL,1201,1077918.666433228
65,andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,TOTAL,132772,748382044.7707307
66,andaman-&-nicobar-islands,2021,2,Recharge & bill payments,TOTAL,120911,43691961.26275121
67,andaman-&-nicobar-islands,2021,2,Merchant payments,TOTAL,85143,103707408.50908463
68,andaman-&-nicobar-islands,2021,2,Financial Services,TOTAL,960,2038521.5136710338
69,andaman-&-nicobar-islands,2021,2,Others,TOTAL,1628,1327080.0560584562
70,andhra-pradesh,2018,1,Recharge & bill payments,TOTAL,5027448,892293975.6698562
71,andhra-pradesh,2018,1,Peer-to-peer payments,TOTAL,3049646,10524250283.178782
72,andhra-pradesh,2018,1,Merchant payments,TOTAL,362672,247297640.24000686
73,andhra-pradesh,2018,1,Financial Services,TOTAL,204305,44808449.7639544
74,andhra-pradesh,2018,1,Others,TOTAL,395514,287626042.970705
75,andhra-pradesh,2018,2,Recharge & bill payments,TOTAL,6456387,1598591488.4880352
76,andhra-pradesh,2018,2,Peer-to-peer payments,TOTAL,4745000,20451493098.8953
77,andhra-pradesh,2018,2,Merchant payments,TOTAL,604847,436785223.86032957
78,andhra-pradesh,2018,2,Financial Services,TOTAL,225621,68952114.81374599
79,andhra-pradesh,2018,2,Others,TOTAL,322063,328092346.575651
80,andhra-pradesh,2018,3,Peer-to-peer payments,TOTAL,16129591,32738630444.668724
81,andhra-pradesh,2018,3,Recharge & bill payments,TOTAL,7542005,1949098146.8941927
82,andhra-pradesh,2018,3,Merchant payments,TOTAL,1225416,685277254.5076212
83,andhra-pradesh,2018,3,Financial Services,TOTAL,380324,60790077.57437308
84,andhra-pradesh,2018,3,Others,TOTAL,348725,284248675.5700202
85,andhra-pradesh,2018,4,Peer-to-peer payments,TOTAL,17580086,47011639726.13608
86,andhra-pradesh,2018,4,Recharge & bill payments,TOTAL,9767083,2418164314.470957
87,andhra-pradesh,2018,4,Merchant payments,TOTAL,2622131,1671585888.568256
88,andhra-pradesh,2018,4,Financial Services,TOTAL,400837,57178116.40322068
89,andhra-pradesh,2018,4,Others,TOTAL,389411,315211361.26249415
90,andhra-pradesh,2019,1,Peer-to-peer payments,TOTAL,37420988,77524329742.2595
91,andhra-pradesh,2019,1,Recharge & bill payments,TOTAL,14022264,3480641602.3771377
92,andhra-pradesh,2019,1,Merchant payments,TOTAL,5043682,2423536770.3706346
93,andhra-pradesh,2019,1,Financial Services,TOTAL,416325,47150177.52982048
94,andhra-pradesh,2019,1,Others,TOTAL,361263,284937624.5393019
